Name,Inclination,Mean_Motion,Altitude,Orbit_Type,Velocity
COSMOS 2278,71.0506,14.14378844,851.5630249547548,LEO,7.8
SL-16 R/B,71.0026,14.15019376,849.3832518173758,LEO,7.8
SL-16 R/B,97.7055,14.79447819,638.2046439177229,LEO,7.8
SL-16 R/B,70.981,14.15566645,847.5221612581345,LEO,7.8
ARIANE 40+ R/B,98.4442,14.39797808,766.3035758187934,LEO,7.8
SL-16 R/B,71.0189,14.15501863,847.7424019835908,LEO,7.8
SL-16 R/B,70.758,14.12425039,858.2221291963206,LEO,7.8
ORBVIEW 2 (SEASTAR),98.8625,14.35519629,780.4770801915665,LEO,7.8
SL-16 R/B,98.831,14.26057991,812.074712115611,LEO,7.8
SL-16 R/B,71.009,14.16198324,845.3755090443328,LEO,7.8
ISS (ZARYA),51.6318,15.4889906,427.08249597694794,LEO,7.8
CZ-4B R/B,98.6557,14.18272276,838.3387471885071,LEO,7.8
OKEAN-O,97.9374,14.80390938,635.2274050448614,LEO,7.8
